director_name,director_score
Carmen Marron,178739
Chris Columbus,130114973
Louis Leterrier,95930635
Zach Cregger,4542775
Terry Gilliam,23501397
Noah Baumbach,6333134
Evan Goldberg,53787688
Franco Zeffirelli,14348123
Ritesh Batra,4231500
Woody Allen,16228707
Rupert Sanders,155111815
Carter Smith,17427926
John Gray,20400913
Bruce Hunt,14888028
Damian Nieman,10696
Aaron Seltzer,48546578
Marcus Raboy,32983713
Sue Corcoran,11798
Billy Wilder,25000000
Tommy Lee Jones,3726079
Kent Alterman,33472850
Uwe Boll,3739257
Seth MacFarlane,114167288
André Téchiné,2874
Dan Zukovic,22434
Jonathan Newman,4756
Mark Waters,65721264
David Schwimmer,5998971
Mark Tonderai,31607598
Jacob Aaron Estes,603943
Mateo Gil,199652
Oliver Blackburn,18378
Joel Zwick,144775991
Kiyoshi Kurosawa,94596
Brad Peyton,100856563
Sean Durkin,2981638
Michael Roemer,12438
Joel Coen,25227835
Jonathan Frakes,51468038
Jeff Garlin,194568
Ken Kwapis,49216905
Brian Koppelman,11632420
Robert Towne,777423
Panos Cosmatos,56129
Roger Donaldson,34255608
Jean-Paul Rappeneau,1877179
Warren Beatty,65132280
Barry W. Blaustein,2047570
Charlie Kaufman,3081925
Iain Softley,24217375
Tom Kalin,434417
Todd Solondz,2683273
Peter Hedges,27106817
Jonathan Demme,74210795
Henry Koster,36000000
Daniel Algrant,121972
Richard Linklater,15332092
Jennifer Wynne Farmer,10508
John McNaughton,29753944
Craig Gillespie,20232100
Asger Leth,18600911
Charles Shyer,13395939
Wayne Wang,45868618
Brian De Palma,50084026
Ernest R. Dickerson,21088568
Hunter Richards,12667
Hans Canosa,379122
Raymond De Felitta,6670712
Ericson Core,28772222
Gillian Robespierre,3122616
Ron Clements,119948293
Robert Fontaine,3330
Colin Strause,21371425
Shekhar Kapur,21527877
George A. Romero,7162538
John Cameron Mitchell,2103093
Leslye Headland,418268
Abel Ferrara,1227324
Richard Lester,56238335
Scandar Copti,621240
Sofia Coppola,16789091
Anthony Hemingway,49875589
Michael Corrente,7292175
Marianna Palka,15542
Louis Morneau,10149779
Mikael Salomon,19819494
Oren Moverman,66637
Joe Carnahan,23047567
Alexander Payne,59187707
Brenda Chapman,101217900
James DeMonaco,71596003
Mamoru Hosoda,9628751
James Dodson,115504
Arjun Sablok,100358
Lance Mungia,124494
Antoine Fuqua,58203779
Marilyn Agrelo,8044906
Charles T. Kanganis,11784000
Willard Huyck,16295774
Adam Rifkin,4193025
Warren P. Sonoda,123777
Dan Rush,2711210
Brad J. Silverman,2507106
Thea Sharrock,56154094
Renny Harlin,34931729
Mitch Davis,4720371
Henry Hobson,131175
Neil LaBute,22429132
Steven E. de Souza,33423521
George Stevens,8000000
Des McAnuff,26000610
Michael McCullers,60269340
Lee Toland Krieger,22786431
Cal Brunker,57011847
Hironobu Sakaguchi,32131830
Peyton Reed,116227128
Zach Braff,15185077
Ethan Coen,53910708
David Lynch,13605814
Michael Spierig,29975979
David McNally,63760630
Tom Sanchez,3830
Nancy Meyers,119577814
Charles Ferguson,1923750
Grant Heslov,32416109
George Ratliff,27445
Joon-ho Bong,4563029
David Pastor,90820
Nathan Greno,200807262
Niki Caro,32621199
David Hackl,56729973
Tim Boxell,118666
David Bowers,45566129
Peter Kosminsky,16346122
Steve Taylor,594904
Je-kyu Kang,1110186
Stiles White,50820940
Mike Marvin,3500000
Juan Carlos Fresnadillo,28637507
Brian Levant,69006493
Salim Akil,30846431
Aki Kaurismäki,611709
Chris Carter,20981633
Steve Pink,50213619
Thomas Carter,62806443
Ham Tran,638951
Kenny Ortega,39514713
Sergey Bodrov,7651924
Gary Shore,55942830
Chris Stokes,40066497
Lone Scherfig,13766014
D.J. Caruso,63396341
Rob Bowman,38552786
Dror Moreh,2408553
Justin Chadwick,17569852
Sam Weisman,55298114
James Bidgood,8231
Dennie Gordon,19286641
Rusty Cundieff,11797927
John Singleton,59102062
Bennett Miller,52176531
Anne Fontaine,3213100
Len Wiseman,82774542
James L. Brooks,73298138
Yash Chopra,2984638
Josef Rusnak,15500000
Peter Jackson,199789876
Frank Coraci,89894586
Lewis Gilbert,50866666
Dan Fogelman,5348317
Terry George,23472900
Brett Ratner,112051014
Ed Gass-Donnelly,15152879
Kasi Lemmons,7508596
Adam Goldberg,2580
Eytan Fox,155972
Christopher McQuarrie,90279004
Wes Ball,92050596
Patricia Riggen,28823757
Tom Hooper,96006786
Vadim Perelman,6654462
Byron Howard,114053579
Albert Brooks,11614236
Olatunde Osunsanmi,25464480
Etan Cohen,90353764
Yarrow Cheney,323505540
Preston A. Whitmore II,28065801
Ashish R. Mohan,352684
Stephen Hopkins,33231234
Craig R. Baxley,14771657
Gabriele Muccino,81879667
John Eng,39399750
José Padilha,39074024
Richard Eyre,9400394
King Vidor,20400000
Jason Eisener,703002
Efram Potelle,279282
Jeannot Szwarc,102922376
Stephen Carpenter,3100650
Stephen Herek,33770028
Josh Gordon,72955999
Lenny Abrahamson,14677654
Peter Hewitt,41678817
Carl Rinsch,38297305
Joshua Oppenheimer,484221
Kevin Bray,35671485
David R. Ellis,38635832
Howard Zieff,64823621
Mike Disa,10134754
