actor_name,actor_score
Thomas Mitchell,198655278
Anthony Chau-Sang Wong,11079195
Lena Horne,13000000
Dexter Fletcher,12627894
Roger Rees,41607364
Lubna Azabal,3806774
Louis Mustillo,22434
Johnny Lewis,15224132
Glynis Johns,102300000
Anthony Heald,83505252
Goran Visnjic,62111341
Eve,141204016
Bill Farmer,425899
John Glover,107285004
Belén Rueda,4622746
Thomas Horn,31836745
Charlotte Sullivan,13288463
Ranin Karim,621240
Niketa Calame,422783777
Carmen Perez,93952276
Jeanette Branch,7705974
Paresh Rawal,199228
Jason Burkey,5355847
Danny Pino,11741332
Kate Graham,23000
Meryl Streep,56124167
Adam Scott,48634913
Kerry Condon,6615578
Mary Catherine Garrison,16168741
Edith Massey,180483
James Karen,103217068
Paula Marshall,3902679
Joshua Mikel,85884815
Fana Mokoena,8324748
Ed Lauter,38495127
Ricky Catter,237301
Jennifer Lawrence,133842214
Alfie Allen,50921738
Tom Berenger,52606913
Adhir Kalyan,20819129
Robin Williams,87587413
Jaya Bhaduri,610991
Joe Dinicol,952620
Dal-su Oh,128486
Tom Hardy,101696398
Joaquim de Almeida,29649048
Victor Webster,43894863
Alex Jennings,37372056
Betsy Russell,45670855
Dann Florek,14587732
Stacy Edwards,2856622
Salma Hayek,54733422
Jaime King,61138875
Michael McKean,16120545
Kelly Keaton,196573705
Eric Mendenhall,51697449
Phil Vischer,19136615
Wolfgang Preiss,50800000
Ane Dahl Torp,41709
Donald Glover,85892458
Romi Aboulafia,31146570
William Devane,85985742
Yuri Lowenthal,12701880
Jessica Lowndes,13350177
Tzi Ma,59758843
Jimmy Shergill,4018695
Jim Parsons,119425260
Daniel Lapaine,10114315
Valente Rodriguez,44469602
Josh Robert Thompson,100169068
Mary-Kate Olsen,14650102
Rekha Sharma,31111260
Osric Chau,9402410
Mason Gamble,12339633
Jenna Elfman,20950820
Annette Badland,4595000
Lisa Bonet,69410750
Seychelle Gabriel,131564731
Christiana Leucas,12026670
Naomi Watts,41283386
Robert Neary,7888703
Henry Thomas,132717767
Nia Long,37647861
Bethany Joy Lenz,15171475
J.K. Simmons,104602455
Alan Ruck,75681478
Nicky Katt,3025218
Jordan Carlos,13214030
Charlie Rowe,15493130
Christopher B. Duncan,4018695
Rita Hayworth,7927
Kathleen Robertson,265107
Paul Winfield,38400000
Cree Summer,65952237
Jill Clayburgh,6754898
Liane Balaban,12843
Gary Coleman,7354641
William Bassett,62161554
Derek Wayne Johnson,1425993
William Sanderson,12200000
Sylvia Syms,56437947
Olga Fonda,85463309
Krysta Rodriguez,535249
Lola Dueñas,7493023
Janel Parrish,3094687
Nawazuddin Siddiqui,4231500
Michael Wright,72515360
Priscilla Presley,69019905
Tyler Hilton,119518352
Jamel Debbouze,33201661
Craig Bierko,24414025
Phoebe Cates,68590094
Khamani Griffin,111597129
Norah Jones,866778
Nathan Parsons,347578
Uday Chopra,100358
Manoj Bajpayee,610991
Ashley Walters,652526
Dylan Schombing,23219748
Kevin Sussman,67434632
Sid Caesar,113830000
Jessica Mauboy,110029
Randeep Hooda,13876974
James Martin Kelly,38509342
Kenneth Tobey,5000000
Qiu Yuen,17104669
Ty Olsson,19310259
Irene Bedard,49443269
Alicia Goranson,11533945
Jason Weaver,56398162
Frank Welker,76449851
Josh Pais,13035146
Jan-Michael Vincent,2365931
Barbara Billingsley,83400000
Grasie Mercedes,101978840
Bobby Lee,37371385
Jayne Eastwood,86555678
Sarah Steele,42044321
Nick Zano,71305913
Christian Anderson,243768
Oksana Akinshina,176049130
Gbenga Akinnagbe,6610326
James Urbaniak,2142465
Richard Thomas,19389454
Jessica Hecht,1186323
Zhanna Friske,1487477
Lindsay Duncan,15294553
Laurel Holloman,1254867
Nathaniel Parker,38345403
Daniel Mays,15268919
Eric Idle,63794792
Billy West,23808111
David Rasche,36279230
Julie Benz,29086443
Zachary Gordon,25031172
Amy Lucas,169719
Maria Dizzia,7574066
Chase Ellison,5903682
Matty Rich,2712293
Jeremy Howard,190871240
Bill Fagerbakke,92767106
Paul Hogan,103177109
Denise Crosby,57469179
Gabriel Beristain,36830
Tiffany Lamb,29975979
Richard Bull,4131640
Peter Breitmayer,9190525
Richard Cabral,32453345
Ryan Kruger,10955425
Josh Segarra,110008260
Kaylee DeFer,5654777
Boman Irani,1165104
Agata Kulesza,3826455
Lee Tergesen,6842058
Ken Siu,11806119
Dave Foley,20507425
Sharon Small,20953773
Jenifer Lewis,38994018
Harvey Korman,103528852
Marion Ross,25871834
Tao Okamoto,132550960
Jeff Kober,22556522
Hugh O'Conor,71309760
Aditya Roy Kapoor,3827466
Andrew Keegan,23403638
Ato Essandoh,90837602
Jude Ciccolella,10725228
T.I.,111935632
Clive Russell,13555351
Ethan Embry,39725714
Keenan Wynn,8000000
Steven Brill,24741700
Christopher Toler,3278611
Johanna Wokalek,927107
Katt Williams,38279714
Kamatari Fujiwara,269061
Michelle Nolden,63411478
Nastassja Kinski,5100000
Brian Dietzen,4922166
Lexa Doig,12610731
Ann Dowd,12055
Paul Schneider,4173330
Christian Campbell,1039869
Amrish Puri,179870271
Taron Egerton,15785632
Marie Féret,706622
Vince McMahon,2047570
Gert Fröbe,51100000
Jeffrey Falcon,124494
Lochlyn Munro,11126108
Desmond Llewelyn,46365099
Jason Cope,38351256
Daoming Chen,377420
Kang-ho Song,2345757
J.B. Smoove,31952637
Amy Poehler,94857149
D.B. Woodside,71038190
Michael Emerson,50254894
Alun Armstrong,33128396
Jim Varney,137916636
Eddie Deezen,665426
Jenni Rivera,2833383
Hayden Christensen,96372351
Christopher Simpson,1094998
Keir Dullea,56715371
Quincy Jones,60507228
Harvey Fierstein,43430537
Ian Tracey,52961
Edwin Hodge,21197315
Vauxhall Jermaine,469947
Perdita Weeks,21197315
Jake Lloyd,30541254
Brian Steele,67394887
Stephen McHattie,1350578
Cree Kelly,27445
Daniel Radcliffe,113597986
Lou Adler,4946250
Mary McDonnell,103802170
Jacqueline McKenzie,13751
June Squibb,65010106
Ingrid Bolsø Berdal,48818342
Ioan Gruffudd,80959528
Colin Ferguson,42640890
Roma Maffia,78700166
Ross Elliott,5000000
Dequina Moore,13214030
Bobby Kendall,8231
Michael Brandon,821997
Kevin Brown,29580087
Kristin Scott Thomas,44004023
Garrett Ryan,27689474
Roschdy Zem,206400
Olly Alexander,21556363
Rachel Crow,131536019
Vanesa Tomasino,13248477
Claire Foy,3093491
Brandon Smith,9203192
Jean-Paul Belmondo,26893
Pierfrancesco Favino,141614023
Samantha Barks,2209479
Kathy Griffin,238371987
John Michael Higgins,64418263
Angela Nordeng,79043
Noah Taylor,67367818
Anna Katarina,882290
Hal Landon Jr.,354704
Brad Lee Wind,3330
Sophie Okonedo,36790146
Nicki Aycox,28062482
Albert Delpy,5792822
Raquel Alessi,4542775
Herbert Grönemeyer,11433134
Mike Bell,165230261
Andrea Ros,27024
Evan Parke,218051260
Birol Ünel,274385
Amy Ryan,7481904
Robert Stadlober,95016
Dabney Coleman,36696761
Agnes Bruckner,9229952
Chazz Palminteri,36927686
Ebon Moss-Bachrach,26198680
Richard Brake,27667947
Jennifer Garner,67218975
Dustin Fitzsimons,96917897
Elizabeth Perkins,82566122
Bubba Smith,81200000
Steve Burg,12995673
Alexandru Potocean,1185783
David Mamet,151389
Katharine Ross,51190402
Matthew Cowles,12055
Christopher Cousins,12831121
Jason Scott Lee,40180427
Tim Blake Nelson,34638593
Om Puri,197148
Isaac Hayes,22201636
Brian Dennehy,23267942
Hye-kyo Song,6594136
Jack Kao,50000
Cheri Oteri,26096584
Eric Schweig,36747572
Richard Dawson,38122105
Joshua Ormond,3325638
Randy Jones,2000000
Jason George,56030225
Gaye Brown,2708188
Jennifer Westfeldt,7022940
François Cluzet,1030420
Rick Gonzalez,84374707
David Keith,36012189
Angus Scrimm,7282851
Orlando Bloom,147015872
Cheech Marin,50407815
Andrew Fiscella,38049019
Yuval Diskin,2408553
Tuppence Middleton,2319187
Rodney Dangerfield,39800000
Eugenio Derbez,12589108
Cjon Saulsberry,33631221
Nate Parker,32785770
Cem Yilmaz,4190530
Freddie Jones,4250320
Nicolas Giraud,706622
Amber Stevens West,127055606
Aaliyah,43140570
Mélissa Désormeaux-Poulin,6857096
Jamie Lee Curtis,56291197
Andrew Bryniarski,90911120
JoBeth Williams,7204138
Robin Wright,49767254
Ana Claudia Talancón,5709616
Dee Wallace,113549906
John Castle,12870569
Max Casella,21807127
James Pickens Jr.,37324358
Rodger Bumpass,85416609
Rachel Hendrix,5355847
Bree Turner,65535067
Richard Farnsworth,7098933
Alan Young,56684819
Constance Marie,92328787
Eileen Brennan,78835557
Kjell Nilsson,9003011
James Corden,21324262
Keegan-Michael Key,63895745
Chris Hemsworth,182008417
Natasha Calis,49122319
John Arcilla,183490
Bob Ross,200803
Sonoya Mizuno,25440971
Joanna Kulig,3826455
Tom Cavanagh,100169068
Matt Berry,5009677
Randy Quaid,41847556
Sara Forestier,458742
Donald Faison,26119550
Na'Blonka Durden,57504069
Willie Nelson,6471394
Sue Corcoran,11798
Lori Singer,44547225
Carrie Preston,33101190
Brianne Brozey,4091
Elton John,50802661
Julian Morris,7338950
Ewen Bremner,32859428
Pedro Miguel Arce,20433940
Rachel Blanchard,31036603
Billie Whitelaw,23618786
Emily Wickersham,55092830
Brenda Song,51432423
Samuel Roukin,4440055
August Diehl,118311368
Terry Kiser,10285000
Mike O'Malley,11802056
John Billingsley,20460168
Zaide Silvia Gutiérrez,886410
Omar Epps,21242686
Steve James,4000000
Frank Vincent,4747234
Susan May Pratt,17174870
Rila Fukushima,132550960
Michael Moore,13902727
Hayley Lovitt,37432299
Brent Neale,39659
Jay R. Ferguson,30329101
Mako,46759868
Alice Playten,19421271
Vidya Balan,199228
Clare Higgins,14564027
Ronnie Gene Blevins,371897
Evelyn Jefferson,1111
Megan Franich,39568996
Antony Starr,31642279
Lauren Lee Smith,14967182
Peter Krause,125603360
Anil Kapoor,70684097
Miguel A. Núñez Jr.,153288182
Lorna Raver,15988876
Marie-Josée Croze,2493454
Randy Couture,2344847
Wei Zhao,557840
Clifton James,24334981
Ron Palillo,19472057
Eric Winter,63501290
Kathleen Quinlan,61159854
Warren Christie,36221065
Lorraine Stanley,5824
Patricia Heaton,12393870
Emily Pearson,99851
Parker Sawyers,95720716
Philippe Labro,10762178
Alex Gibney,274661
Mark Camacho,12831121
Sandra Echeverría,140987
Kim Director,26421314
Wayne Knight,210393896
Lily Atkinson,32553210
Estella Warren,93523844
Michael Byrne,41413560
Julia Duffy,35096190
Dana Andrews,23650000
Ernie Reyes Jr.,39609436
Tammy Davis,20772796
Heather Matarazzo,30887145
Dana Hanna,32230907
Spencer Wilding,12288822
Emmanuelle Seigner,5990075
Alexa PenaVega,38532188
Aidan Quinn,11054075
Fritz Kortner,9950
Roma Downey,59696176
Gedde Watanabe,29412109
Joe Pingue,3073392
Sam Riley,84395398
Reece Thompson,33685268
Romane Bohringer,38828741
Kellie Martin,8508843
Matt Bomer,35774348
Maika Monroe,14673301
Ni Yan,252917
Chi McBride,50660518
DeForest Kelley,617172
Jason Spevack,26161406
Glen Hansard,9437933
Lemmy,58936
Eddie Baroo,49551662
Karl Malden,9600000
Marcella Lentz-Pope,96917897
Kenneth Cranham,17149
Brenda Strong,10084431
Chris Klein,21503429
Mackenzie Aladjem,67523385
Hattie McDaniel,198655278
Bernadette Peters,58297830
Jason Dixie,2856622
Frances O'Connor,46800818
Nancy O'Dell,45166237
Tom Arnold,75217363
Natasha Lyonne,49591505
Leila Hatami,7098492
Jon Favreau,118841800
Kathleen Turner,45534899
Matt Frewer,1029017
Daniel Stern,14516386
Gregory Scott Cummins,6482195
Willie Garson,52141433
S. Epatha Merkerson,8552607
Lindy Booth,12730018
Lisa Gaye,792966
Bruce Boxleitner,12870569
Zack Ward,133712477
Robert Miano,15464026
Rob Paulsen,67315343
Kevin Nealon,36315102
Taylor Lautner,201967821
Robert De Niro,51026655
Daniella Pineda,4584
Vera Ngassa,32631
Ryan Robbins,17683670
Chelan Simmons,29774098
Geoffrey Arend,19691069
Lois Maxwell,43677839
Rene Russo,84955988
Nellie McKay,53680848
Dree Hemingway,7574066
Shelley Conn,30212620
Teyonah Parris,30212620
Firass Dirani,18843314
Shahab Hosseini,7098492
Connor Corum,91443253
Robyn Lively,2848578
Jeff Bennett,127706877
Richard Lawson,37672350
Raven Goodwin,4186931
Pruitt Taylor Vince,26360237
Debra Messing,45118374
Jan Hooks,18252684
Betty Hutton,8000000
Wendy Raquel Robinson,106807667
Nicole de Boer,489220
Alan Bates,29200000
Jason Robards,30774807
Helmut Bakaitis,281492479
Carmen Ejogo,25863915
Val Kilmer,17473245
Peter McNamara,178405
Jason Momoa,9483821
Noureen DeWulf,26291684
Tom Hollander,24102243
Yul Vazquez,22434
Basher Savage,274084951
Margaret Cho,26876529
Julia Ormond,44349113
Alan Ford,20920604
Zoey Deutch,27491390
Kathleen Kinmont,17768000
Joan Allen,38591394
Jared Burke,24127895
Fernanda Machado,8060
Dylan Authors,4234040
Scott Vance,47034272
Ian Somerhalder,14115562
Miranda Cosgrove,176284354
Cecil Kellaway,5000000
Ned Beatty,72402041
Paul Brannigan,2605039
Zinedine Soualem,1083154
William Petersen,26405726
Joseph Sikora,78448062
Rosalind Chao,55350897
Peter Capaldi,68751445
James Bolam,10660147
Fernanda Montenegro,5595428
Benedict Wong,79038580
Krystyna Janda,447093
Mei Melançon,226138454
Noah Bean,30993544
Russell Peters,33186040
Treat Williams,23553141
Armin Shimerman,10941801
Elaine Hendrix,13020130
Ashley Bell,28071467
Kathleen Wilhoite,16268321
William Morgan Sheppard,6195452
Jake Lacy,3122616
Darci Kistler,2119994
Francesca Capaldi,130174897
Park Bench,32368960
Benjamin Walker,31250812
Dante Brown,5308553
Roger Willie,22245861
Amy Hargreaves,258113
Jim Belushi,31840791
Sal Lopez,30306281
Fred Williamson,88200225
John Savage,40172224
Karen Mok,488872
Amy Yasbeck,119938730
Steve-O,84749228
Kathleen Rose Perkins,5283379
Jason Ritter,30288691
Michael Kelly,57959935
Dyan Cannon,24472910
Mark Zupan,1523883
Brittany Daniel,36171112
Jeffrey Garcia,131536019
Rosario Dawson,38350316
Abby Mukiibi Nkaaga,17605861
Ben Chaplin,14884833
Scott Reeves,14343976
Amr Waked,76059133
Donald Trump,638476
Saif Ali Khan,463922
Peter Dinklage,75669460
Chris Pontius,64004025
Philip Winchester,9925171
Lynn Cohen,2332066
Sissy Spacek,27487085
Frank Dillane,24985612
Alan Van Sprang,7264088
Garry Shandling,123489092
Devin Ratray,90654438
James Tumminia,50648679
Ed Stoppard,32519322
Tiffany Dupont,8369306
Nina Hoss,17237244
Paz de la Huerta,20781768
Albert Dupontel,3460659
Stephen Walters,27667947
Mem Ferda,1357042
Joe Lo Truglio,53213182
Benjamin J. Cain Jr.,28064226
Michael Parks,34014951
Greg Grunberg,53759120
Adriana Caselotti,184925485
Peter Kwong,11100000
Kuno Becker,2178904
Larry Joe Campbell,73415259
Casey Affleck,236266
Ben Schwartz,83024900
Ana de la Reguera,65174306
Ricky Jay,151389
Sunny Mabrey,26082914
Emily Ratajkowski,85662703
Nancy Kyes,14400000
Alex Russell,98593485
Udo Kier,22003275
G.W. Bailey,25076300
Reza Sixo Safai,439958
Callum Rennie,35491477
Barack Obama,33349949
Donald Gibb,11806119
Gaia Weiss,18821279
Archie Panjabi,47583981
Pat Healy,77501
Melissa McMeekin,51892908
Frankie Valli,15155772
Warren Oates,14873
Ramon Rodriguez,120551636
Sally Hawkins,7015874
Sarah Callan,21199
Bella Heathcote,6119059
Jack McGee,46802700
Tiffany Helm,21300000
Jake Wood,39825798
Kelly Carlson,17277693
Jansen Panettiere,549632
Maxine Bahns,10246600
Gary Farmer,32959250
Sam Waterston,3845291
Cynthia Geary,174682
Allison Miller,15818967
Brighton Sharbino,30876451
Daisy Betts,25926543
Natalie Mendoza,197148
Luke Benward,32645546
Lincoln Hoppe,1250798
Sierra McCormick,26161406
James Patrick Stuart,10769960
Saïd Taghmaoui,3517797
Jennifer Saunders,255875547
Theo James,102287813
Jessica Tandy,106593296
Lisa Pelikan,2807854
Kyra Nichols,2119994
Togo Igawa,8129455
Ken Howard,41714544
Johnny Lever,352684
Ken Leung,4771000
Robert Maillet,114652503
Allen Covert,70797980
Stephen Henderson,15928352
Rory Kinnear,213656921
Keshia Knight Pulliam,53265117
Stephen Dillane,12493222
Mark Valley,27957972
Tom Guiry,90135191
Paul McGann,55473600
Larry the Cable Guy,34091997
Edwin Neal,30859000
Dana Delany,28802532
Timothy Webber,1506998
Zach Grenier,8781937
Denny Kirkwood,1114943
John Belushi,97900000
Heather Morris,12992306
Béatrice Bonifassi,7002255
Finn Ireland,6462576
Brendan Mackey,4581222
Milos Forman,37036404
Ashley Rickards,17314483
Steven Hill,30400000
Amanda Schull,17174870
Paul McCartney,515005
Dagmara Dominczyk,6815519
Andrew Dice Clay,33404871
Amanda Tilson,15331289
Erik Knudsen,27854896
Peter Firth,36874745
Carol Kane,18090136
Mai Charoenpura,454255
Morgan Saylor,44469602
Greg Mottola,5032496
Crystal Lowe,46952536
Jack McBrayer,161496679
Enrico Colantoni,41323968
Michael Joiner,2428241
Brandon Molale,7097125
Aimee Teegarden,24141562
Gina Holden,49884453
Jack Wild,16800000
Louis Mandylor,150505256
Dylan Minnette,58285194
JJ Feild,1224347
Rawiri Paratene,20772796
Vanessa Aspillaga,30993544
Angus Macfadyen,34859538
Kristen Johnston,20186
Tasha Smith,58985488
Melissa Sturm,119793567
Saurabh Shukla,141319195
Craig Ferguson,81420248
Lloyd Avery II,57504069
James Tupper,1186957
Michael O'Keefe,2508841
Clarence Williams III,39027310
Jesper Christensen,31146570
Vanessa Williams,43841652
Mira Sorvino,12141036
Ben Daniels,28031250
Shelley Duvall,30669638
Alex Veadov,70011073
Jacob Latimore,102413606
Brandon T. Jackson,58566554
Mohamad Haref Harati,1127331
Laura San Giacomo,24741700
Carol Ann Susi,93375151
Adam Alexi-Malle,66365290
Raven-Symoné,128553592
Melissa Gilbert,112521
Virginia Capers,39100956
Megalyn Echikunwoke,34175963
Jere Burns,25590119
Linda Lovelace,653621
Sarah Clarke,4599680
Paul Williams,2436
Sven-Ole Thorsen,38590500
Rain,38105077
Larry King,67389160
Joseph Gilgun,11748097
Matias Varela,188870
Izabella Scorupco,74225429
Jodie Whittaker,23091
Glenn Beck,56715371
Michel Bouquet,26893
Alexandra Silber,71975611
James Duval,727883
Goya Toledo,5383834
Logan Browning,444044
Chris Eigeman,2938208
Steven Michael Quezada,1602466
Jeff Garlin,67744277
Robert Redford,6262942
Molly Shannon,88983604
Satish Kaushik,1094998
David Gulpilil,90400214
Jossara Jinaro,178739
Othon Bastos,5595428
Joel Courtney,126975169
Oliver Reed,102235433
Mark Margolis,35477598
Li Jun Li,20200
Radha Mitchell,42981267
John Kapelos,32991362
Ludger Pistor,7267324
LisaRaye McCoy,18276732
Olivia Wilde,46911255
Brian Doyle-Murray,27754281
Zoe Kazan,24378211
Brian Stepanek,7022940
Keeley Hawes,4756
Oona Laurence,52418902
Ben Cross,48200217
Alex Borstein,40142934
Theodore Bikel,72000000
William Katt,985341
Dustin Nguyen,11784000
Nicolas Cage,53156518
Tim McInnerny,13233573
Maurice LaMarche,168704382
George Wendt,7292175
Ian Mune,40158000
Richard Sammel,30688364
Brian Bosworth,9286314
R. Marcos Taylor,161029270
Robert Capron,63143812
Lola Glaudini,26049082
James Whitmore,14500000
James Mason,54000000
Oprah Winfrey,80427075
Ryan McDonald,712294
Barbara Bach,46800000
Michael Potts,76081498
John Hensley,347578
Arthur Agee,7830611
Ray Walston,98215028
Catherine Dyer,255950375
Maria Canals-Barrera,20773070
Christopher Guest,14271686
Thomas Robinson,93417865
Laurie Metcalf,475000
Robert Mitchum,69714279
Erik Palladino,1028658
Chelcie Ross,22255785
Douglas Haase,56607223
Puti Sri Candra Dewi,2601847
Jan Cornet,36874745
Quynn Ton,70071
Dee Bradley Baker,35177851
Christopher Schmidt,2848578
Kelly Rutherford,89138076
Richard Spore,203134
Nicole Ari Parker,14181231
Jenna Boyd,34238611
Mike Tyson,108950556
Oscar Gale,29802761
Saul Williams,982214
Brigitte Helm,26435
Vanessa Matsui,71017784
Lillete Dubey,11410775
Sophie Rois,59774
Deneen Tyler,47806295
Richard Beymer,43650000
Steven Berkoff,67900000
Susan Clark,105500000
Sandahl Bergman,37567440
Zena Grey,14637490
Ayelet Zurer,90377468
Isabelle Carré,1877179
Will.i.am,143618384
Mia Farrow,12354776
James Wolk,13460881
Magda Szubanski,110029
DeVaughn Nixon,121945720
Toby Jones,23552474
Denis O'Hare,53501904
Ski Carr,67325559
Travis Smith,45661
Will Smith,136994425
Cameron Boyce,65901638
Mireille Enos,68453220
Danny Strong,11702090
Mircea Monroe,20228358
Patti D'Arbanville,30993544
Kay Panabaker,24018447
Ben Platt,64998368
James Babson,59035104
George Raft,25000000
Tom Bosley,37481242
Kim De Angelo,124494
Marin Hinkle,13367101
Jim Meskimen,31334939
Ed Begley Jr.,40543007
Seth MacFarlane,85417061
Rhys Wakefield,36962486
Aretha Franklin,54200000
Bradley Cooper,103199622
Violante Placido,35596227
Tony Goldwyn,64929348
Michael Greyeyes,9715696
Sam Edwards,102797150
Karen Young,6734844
Judge Reinhold,129011517
Macaulay Culkin,94394189
Jan Decleir,713413
Dean Stockwell,93124058
Rock Hudson,5000000
Mary Goggin,872643
Skyler Samuels,31540207
Catriona MacColl,126387
Brianna Brown,252726
Bob Eubanks,6706368
Sarita Choudhury,11056660
Ryan O'Neal,13724946
Matthew Modine,27047800
Mary J. Blige,29357313
Vernon Wells,9003011
Moritz Bleibtreu,13849267
Anthony Reynolds,205253180
Owen Burke,92173235
Gloria Reuben,44450000
Chris Moss,19179969
Diana Ross,13000000
Deborah Kara Unger,44515235
Steve Coogan,116464143
Rizwan Manji,902835
Brad Renfro,30892928
Guillermo Francella,20167424
Masi Oka,71829659
Eli Marienthal,40542
Ellen Wong,31494270
Gabrielle Reece,2276368
Frederick Weller,1028337
Michael Bolten,2848578
Chris Andrew Ciulla,273420
Tony Devon,1028337
Blanchard Ryan,30500882
Karen Pittman,16168741
Stephanie Leonidas,396035
Don Cheadle,70932550
Christoph Waltz,117925052
Jenny Slate,3122616
Si Won Choi,72413
Brian Lee Franklin,183490
Justin Theroux,28865491
Claire Geare,27285953
George Harris,36293632
Olgierd Lukaszewicz,447093
Christian Camargo,25434338
Bari Hyman,192467
Adrian Alonso,45356386
Zack Pearlman,535249
Suzie Steen,4806750
Kathleen Munroe,101055
Muse Watson,72613394
Rumer Willis,22378103
David Proval,32645
Leonardo DiCaprio,120658454
Jacqueline MacInnes Wood,42575718
Costas Mandylor,39518071
Megyn Price,15655665
Ruby Lin,50000
Dan O'Herlihy,14400000
Per Christian Ellefsen,313436
Mike Huckabee,425899
Kelvin Han Yee,5755286
Busy Philipps,41582705
Jason Alexander,116453389
Sabrina Ferilli,2835886
Eric Schlosser,4417124
Meghan Heffern,3074838
Shannon Tweed,4193025
Kristin Davis,81721570
Meredith Hagner,62480
Mike Eshaq,27445
Andy Lau,7572249
Michael Pollan,4417124
Charles Aznavour,1554566
Reggie Lee,29588679
Don Pardo,14792779
Pip Torrens,19447478
Jake Cherry,13367101
Matt Letscher,25556065
Mimi Rogers,33674506
Robert Ri'chard,35057834
Emily Podleski,2024854
Peter Dante,141132042
Elizabeth Meriwether,7362100
Tom Burke,1363283
John Lone,226138454
Peter Riegert,906666
Michael Bower,333658
Shawn Andrews,325491
Nona Gaye,82671336
Jack Plotnick,2807362
Marcus Chong,171383253
Karan Brar,111505642
JoAnna Garcia Swisher,37882551
Michael J. Morris,8691
Rob Riggle,54603000
Julie Gonzalo,80826799
Christine Taylor,34336820
Cam Clarke,12701880
Mike Figueroa,65087
Miriama Smith,4720371
Béatrice Dalle,136007
Thomas Ian Nicholas,35824775
Nehemiah Persoff,25000000
Tommy Pallotta,1227508
Joseph Julian Soria,60748566
Arturo Castro,3330
Rhea Perlman,5997134
Sean Hayes,110058246
Christina Chambers,5199
Gena Rowlands,22998290
Alison Lohman,22176344
David Bailie,14131298
Jay Hernandez,47295693
Ali Hillis,94497271
Shenae Grimes-Beech,38176892
Lisa Ann Walter,122921728
Amanda Detmer,47477944
Griffin Dunne,59847242
Amelia Giancarlo,11529368
Miranda Richardson,31332439
Greg Speirs,133778
Catherine Deneuve,6460150
Jon Lovitz,57532736
Lea Michele,10160914
Neil Maskell,1999368
Monique Gabriela Curnen,37845796
Ringo Starr,418478
Tim Heidecker,56114221
Julia Roberts,75838425
Alison Doody,123735903
Eddie Kaye Thomas,16003046
Georgina Reilly,2499
Alan Dale,29136626
Erin Wasson,1768416
Charlie Tahan,32270910
Anthony Zerbe,34667015
Kesun Loder,298110
Chris Kattan,11949623
Scott Glenn,48302513
Garcelle Beauvais,15088617
Omar Sy,326719094
David Agranov,56127162
Tippi Hedren,2000000
Topher Grace,24418438
Alessandra Mastronardi,16684352
Ritchie Montgomery,117560
Jessy Schram,194568
Sachiko Ishida,93952276
Chris Brown,52728428
B.J. Novak,100933692
Jesse Borrego,20581218
Rie Rasmussen,6592103
Matthew Broderick,88285730
William Smith,21060311
Valarie Pettiford,4273372
Jasper Cole,8460995
Rachael Harris,53393311
Velibor Topic,61355436
Brendan Coyle,28077461
Adriane Lenox,866778
Cécile De France,16071714
Angela Bettis,29374178
Kevin Zegers,23915536
Frankie Muniz,38927959
Nichola Burley,18378
Dany Boon,1155681
Daniel Giménez Cacho,13622333
Bam Margera,84749228
Peter Youngblood Hills,39778599
Beatrice Ntuba,32631
Ted Raimi,110175871
Zayn Malik,28873374
Jim Norton,128937
A.J. Langer,4308981
Paul Anderson,94348221
Kelly Macdonald,59543826
Alexis Arquette,32368960
Scarlett Johansson,137687657
Nina Arianda,56816662
Big Budah,1111615
Burghart Klaußner,3143253
Kirpatrick Thomas,243768
David A Cole,131175
Jon Foster,34566746
Rae Dawn Chong,94175854
Leslie Bibb,48713032
Yvette Nicole Brown,43393202
Matthew Daddario,30393890
Rosanna DeSoto,54215416
Michael Michele,9059588
Denholm Elliott,38165745
Jizelle Jade,113155
Annabelle Wallis,84263837
John Robinson,856942
Kathleen Freeman,267652016
Paul Daggett,8044906
William Lucking,25004425
Emilia Fox,32519322
Hunter Parrish,40121724
Danny Huston,21929351
Tiya Sircar,18311432
Michael Beach,19692608
Adrian Lester,38966057
Robert Shaw,148133333
Jeremy Davies,3132988
Caroll Spinney,11634458
Max Beesley,4273372
Emma Kenney,107515297
Lauren Sweetser,6531491
Jackie Cooper,84100000
Callie Thorne,3764602
Corinna Harney,56607223
Debbie Harry,410241
Will Patton,53722702
Seth Gabel,217536138
Johnny Depp,74819581
Stephen Amell,81638674
Jessica Capshaw,132014112
Nicholas Tse,668171
Anthony Edwards,11520610
Phaldut Sharma,274084951
Sihung Lung,128067808
Lauren Holly,74294428
Marc Blucas,35355423
Corey Johnson,25440971
Blake Lindsley,4505922
Leo Fitzpatrick,7417210
Bill Baird,23807
Enrique Iglesias,55845943
Saul Stein,30500882
Jason Cottle,70011073
Rafe Spall,48999561
Gabriel Thomson,51396781
Joel McHale,31333650
Ken Marino,45895207
Charlyne Yi,108128805
China Chow,10397365
Bobby Batson,4700361
Matthias Habich,6173485
Glenne Headly,18318000
Michael Biehn,41657632
Shannen Fields,10174663
Jonathan Caouette,592014
Azura Skye,41523271
Tamar Novas,2086345
Marc Macaulay,47852604
Roger Ashton-Griffiths,4250320
Charlie McDermott,26361230
Adam Baldwin,89151954
Steve Guttenberg,66270240
Alisha Boe,53884821
Marla Sokoloff,8735529
Laz Alonso,24550336
Exie Booker,79043
John Doe,5146077
Reginald Owen,2956000
Zach Woods,79068951
