actor_name,actor_score
Amanda Plummer,395592
Dick Cavett,151389
Jackson Nicoll,55690625
Christopher Heyerdahl,40198710
Jason Mantzoukas,35537564
Terence Bernie Hines,33828318
Whitney Able,237301
Lee Ving,94900000
Sanaa Lathan,51905526
Jacob Pitts,17718223
Hristo Shopov,499263
Luke Perry,27012
Jennifer Jason Leigh,17027942
Merry Clayton,4946250
Annie Golden,2035566
Megan Park,43663930
Courtney Love,2961991
Rie Miyazawa,19406406
Wilford Brimley,48805980
Daniel Cudmore,234360014
Sherri Shepherd,67962333
Nadine Labaki,1060591
Elissa Dowling,59379
Mick Foley,2047570
Salli Richardson-Whitfield,30459405
Jenny McCarthy,4131640
Nellie Sciutto,127968405
Joan Plowright,45171072
Mel Blanc,84300000
Mithun Chakraborty,352684
Mara Wilson,113659602
Teresa Wright,23650000
George 'Buck' Flower,13008928
Tac Fitzgerald,23616
Ralph Ineson,12720248
Roger Allam,56437947
Darlene Love,129734803
Ursula Andress,16067035
Sprague Grayden,94378856
Bob Clendenin,11805296
Christian Bale,91273923
Fionnula Flanagan,54138227
Albert Brooks,80513362
James Coburn,103048088
G.W. Krauss,100240
Tom Selleck,78731516
Max Ryan,35084972
Paul Freeman,5168082
Geneviève Bujold,16459004
America Olivo,12843
Tom Amandes,10114315
Tatyana Ali,22099796
Tal Bachman,12995673
Rupert Evans,47414635
Francis Capra,8119205
Yuki Matsuzaki,13753931
Damien Garvey,29975979
Eamonn Walker,463319
Nick Searcy,233630478
Austin Nichols,29737346
Vincent Gallo,1697953
Noah Ringer,131564731
Michael Rady,44087387
Tamara Tunie,22267590
Victoria Leigh,48056940
Jesse McCartney,79033891
Cassie Ventura,58006147
Jackie Nova,47111
Kevin Pollak,48593759
Harriet Walter,34300771
Michel Robin,7002255
George Harrison,515005
Katie Aselton,3823957
Dan Byrd,51431160
Clifton Collins Jr.,17684512
Ye Liu,3342708
Jeanne Tripplehorn,28878896
Ivan Barnev,617228
CindyMarie Small,39659
Jo Prestia,753501
Angus Barnett,352786
Matt McCoy,64604977
Christopher Meloni,111765126
Rick Aviles,88246220
Nora Dunn,9019815
Vernee Watson,2275557
Jonny Weston,3590010
Scott A. Martin,1987762
Matt Jones,177343675
Veronika Vernadskaya,21426805
Raphael Sbarge,52799004
Jon Stewart,34918154
J.J. Cohen,210609762
Carlos Ponce,25365798
